tanggal_transaksi,nama_produk,kategori,total_pengeluaran
2015-01-01,share auto - hospital to brc station,Transportasi,1900.0
2015-01-01,tea,Makanan/Minuman,1900.0
2015-01-01,share jeep - place t top to base,Transportasi,3800.0
2015-01-01,share jeep - place t to brc,Transportasi,11400.0
2015-01-01,monument,Lain-lain,7600.0
2015-01-01,bendys chicken biryani,Makanan/Minuman,76000.0
2015-01-01,ropeway place t to and fro,Transportasi,26980.0
2015-01-01,share jeep - place t base to top,Transportasi,3800.0
2015-01-01,share auto - place h to place t base,Transportasi,3800.0
2015-01-01,bus - brc to place h,Transportasi,5700.0
2015-01-01,temple prasad,Makanan/Minuman,38000.0
2015-01-02,tea,Makanan/Minuman,1900.0
2015-01-02,4 eggs,Makanan/Minuman,5320.0
2015-01-02,permanent residence money transfer,Lain-lain,1900000.0
2015-01-02,grocery,Makanan/Minuman,12540.0
2015-01-03,cricket expenses,Lain-lain,42370.0
2015-01-03,milk half gold + 2 packs bourbon biscuits,Makanan/Minuman,9310.0
2015-01-03,water jar,Makanan/Minuman,66500.0
2015-01-04,shev,Makanan/Minuman,6650.0
2015-01-04,tea,Makanan/Minuman,3800.0
2015-01-04,rice,Makanan/Minuman,33250.0
2015-01-04,public provident fund,Lain-lain,1900000.0
2015-01-05,rent,Lain-lain,538270.0
2015-01-05,cook,Lain-lain,427500.0
2015-01-05,maid,Lain-lain,63270.0
2015-01-05,dinner,Makanan/Minuman,25650.0
2015-01-06,tea,Makanan/Minuman,2850.0
2015-01-06,sprout chat,Makanan/Minuman,2850.0
2015-01-07,sprout chat+tea+guava drink,Makanan/Minuman,5890.0
2015-01-08,tea+ bourbon,Makanan/Minuman,3800.0
2015-01-09,participation fee - corporate cricket league,Lain-lain,123500.0
2015-01-09,sprout chat,Makanan/Minuman,3800.0
2015-01-10,tea,Makanan/Minuman,3800.0
2015-01-10,garbage collector,Lain-lain,9500.0
2015-01-10,travels - brc to pune,Transportasi,123500.0
2015-01-10,auto -hospital to bridge,Transportasi,9500.0
